File,Filename,Aktion,Altersgruppe,Antwort,Bezirk,DSGVO-Basis,Fahrzeit ab Hellmonsodt,Follow-up,Gemeinde,Gesendet am,Kapazitaet,Kategorie,Kontakt-Email,Kurzbeschreibung,Notizen,Nr.,Organisation,Programmname,Region,Stadt/Ort,Status,Tier,Typ,Warum relevant,Warum sie zahlen wuerden,Website,Website/URL
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Bildungszentrum,bildungszentrum@stift-schlierbach.at,"Zisterzienser seit 1355, Kreativkurse, explizit Schulklassen+Jugendgruppen",,21,Stift Schlierbach Bildungszentrum,,,Schlierbach,Ausstehend,Tier 1,Bildungshaus (Kloster),,EXPLIZIT Schulklassen; kreativ-paed. Fokus passt zu Naturpaedagogik,stift-schlierbach.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Seminarzentrum,seminar@stift-schlaegl.at,"4 Seminarraeume, 37 Betten, Sport+Bewegung, Kinderspielplatz, Muehlviertel",,22,Stift Schlaegl Seminarzentrum,,,Aigen-Schlaegl,Ausstehend,Tier 1,Bildungshaus (Kloster),,Sport+Bewegung-Fokus; Kinderspielplatz zeigt Familien-Zielgruppe,stift-schlaegl.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Bildungshaus,bildungshaus@greisinghof.at,"24 Zimmer, Marianisten+Dioezese, ganzjaehrig, Seminarinfrastruktur",,23,Bildungshaus Greisinghof,,,Tragwein,Ausstehend,Tier 2,Bildungshaus (Dioezese),,Ganzjaehriger Seminarbetrieb; bucht ext. Referent:innen,dioezese-linz.at/greisinghof,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Bildungszentrum,franziskushaus@dioezese-linz.at,"Dioezesanes BZ, ext. Gruppen willkommen, Jugendbuero Ried im selben Haus",,24,Bildungszentrum St. Franziskus,,,Ried im Innkreis,Ausstehend,Tier 2,Bildungshaus (Dioezese),,Jugendbuero im Haus = direkter Draht zu Jugendarbeit,dioezese-linz.at/franziskushaus,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Landesstelle,jugendservice@ooe.gv.at,"Staatlicher Jugenddienst, 14 Standorte, Abenteuer-/Technik-/Sportcamps 8-21J",,25,JugendService OOe (Land OOe),,,Linz (14 Standorte),Ausstehend,Tier 1,Ferienprogramm-Betreiber,,Regierungsbudget; vermittelt+foerdert ext. Workshop-Anbieter aktiv,jugendservice.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Familienorganisation,office@ooe.familienbund.at,"150+ Standorte, ~4.000 Kinder/Jahr, Ferienbetreuung, Gemeinde-Konzepte",,26,OOe Familienbund,,,Linz (150+ Standorte),Ausstehend,Tier 1,Ferienprogramm-Betreiber,,Erstellt Betreuungskonzepte fuer Gemeinden; bucht ext. Anbieter,ooe.familienbund.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Familienorganisation,ferien@kinderfreunde.cc,"Feriencamps, Ferien im Betrieb, Wassercamps, Actioncamps, regional",,27,Kinderfreunde OOe (Ferienprogramme),,,OOe-weit,Ausstehend,Tier 1,Ferienprogramm-Betreiber,,'Ferien im Betrieb' = Firmen zahlen; bucht ext. Programmanbieter,kinderfreunde.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Sozialtraeger,office@ooe.hilfswerk.at,"Horte, Nachmittagsbetreuung 6-14J, Ferienbetreuung, institutionell",,28,OOe Hilfswerk,,,Linz (OOe-weit),Ausstehend,Tier 2,Hort-/Ferienbetreuung,,Grosser Traeger mit Budget; Ferienbetreuung braucht Programm,hilfswerk.at/oberoesterreich,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Jugendorganisation,jrk@o.roteskreuz.at,"80+ Ortsgruppen in OOe, 9.000+ Jugendliche, Fuehrungstraining, 6-18J",,29,Jugendrotkreuz OOe,,,Linz (80+ Ortsgruppen),Ausstehend,Tier 2,Ferienprogramm-Betreiber,,Grosse Reichweite; Workshop-Integration in Gruppenprogramme,jugendrotkreuz.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Gemeinde,jugend@mag.linz.at,"Aktiv-Tage Sommerprogramm, Kurse+Workshops+Exkursionen, 6-15J",,30,Stadt Linz - Kinder- und Jugendbuero,,,Linz,Ausstehend,Tier 1,Kommunales Ferienprogramm,,Staedtisches Budget; bucht ext. Anbieter fuer Aktiv-Tage,linz.at/jugend,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Gemeinde,ferienprogramm@wels.gv.at,"Sommerferienbetreuung, Semesterferien, Weihnachten, 5 Hortstandorte",,31,Stadt Wels - Ferienprogramm,,,Wels,Ausstehend,Tier 1,Kommunales Ferienprogramm,,Eigenes Budget fuer ext. Aktivitaets-Anbieter,ferienprogramm.wels.gv.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Nationalpark,office@kalkalpen.at,"Einziger Kalkstein-Nationalpark AT, WildnisCamp, Rangerprogramme, Schulprogramme",,32,Nationalpark Kalkalpen,,,Molln/Region,Ausstehend,Tier 1,Naturpark/Umweltbildung,,EXPLIZIT: ext. Referent:innen fuer Seminare+Exkursionen buchbar,kalkalpen.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Naturpark,info@naturpark-muehlviertel.at,"Magerwiesen, Granitbloecke, Naturpark des Jahres 2019, gef. Touren 12+",,33,Naturpark Muehlviertel,,,Rechberg,Ausstehend,Tier 1,Naturpark/Umweltbildung,,Bucht ext. Naturpark-Guides; gefuehrte Programme fuer Gruppen,naturpark-muehlviertel.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Naturpark,naturpark@attersee-traunsee.at,"Groesster Naturpark OOe, Seen+Berge, DarkSky Park, Schulprogramme",,34,Naturpark Attersee-Traunsee,,,Steinbach am Attersee,Ausstehend,Tier 1,Naturpark/Umweltbildung,,Schulprogramme + ext. Guides; groesster Naturpark OOe,naturpark-attersee-traunsee.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Naturpark,info@obsthuegelland.at,"Streuobstwiesen, Schartner Kirschen, Insekten-Workshops fuer Schulen",,35,Naturpark Obst-Huegel-Land,,,St. Marienkirchen,Ausstehend,Tier 1,Naturpark/Umweltbildung,,EXPLIZIT Schulklassen-Programme; bucht ext. Paedagog:innen,obsthuegelland.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Naturpark,info@naturpark-bauernland.at,"Juengster Naturpark OOe, Irrsee/Mondsee/Attersee, Landwirtschaft+Natur",,36,Naturpark Bauernland,,,Mondsee,Ausstehend,Tier 1,Naturpark/Umweltbildung,,Neu = aktiv Programm aufbauend; sucht ext. Bildungsanbieter,naturpark-bauernland.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Volkshochschule,wissensturm@mag.linz.at,"5.000+ Kurse/Jahr, Natur-/Outdoor-/Familienkurse, groesste VHS OOe",,37,VHS Linz / Wissensturm,,,Linz,Ausstehend,Tier 2,Erwachsenenbildung,,Bucht regelmaessig ext. Kursleiter:innen fuer Naturkurse,wissensturm.linz.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Volkshochschule,service@vhsooe.at,"100+ Gemeinden, 5.000 Kurse/Jahr, Netzwerk fuer Programmvermittlung",,38,VHS Oberoesterreich (Zentrale),,,Linz,Ausstehend,Tier 2,Erwachsenenbildung,,Zentraler Zugang zu allen VHS-Standorten in OOe,vhsooe.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Kirchl. Jugendorg.,kj@dioezese-linz.at,"Jugendarbeit in Pfarren, Lager, Zielgruppe 14-19, dioezesanweit",,39,Katholische Jugend OOe,,,Linz (dioezesanweit),Ausstehend,Tier 2,Jugendorganisation,,Lager + Pfarrjugend-Events haben Budget fuer ext. Workshops,kj-ooe.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Outreach,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,55 Betten,Schullandwochen-Quartier,office@karlingerhaus.at,"Jugend-/Familiengaestehaus, Hallenbad, Sportplatz, Lagerfeuer, Klimawochen fuer Schulen",,1,Karlingerhaus,,,Koenigswiesen,Ausstehend,Tier 1,,Explizit Schulklassen + Klimawochen = perfekter Fit fuer Naturpaedagogik,,karlingerhaus.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Outreach,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,300 Betten,Schullandwochen-Quartier,office.leonf@studentenwerk.at,"Modernes Gruppenhotel, Sporthalle, Seminarraeume bis 30 Pers., Vollpension",,2,Hotel Sommerhaus Bad Leonfelden,,,Bad Leonfelden,Ausstehend,Tier 1,,300 Betten = grosse Kapazitaet; explizit Schulreisen; braucht Programmpartner,,sommerhaus-hotel.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Outreach,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,100 Betten,Schullandwochen-Quartier,office@seminarhof-schleglberg.at,"50 Zimmer, 5 Seminarraeume, Wellness, Hausruckviertel, laendlich",,3,Seminarhof Schleglberg,,,Rottenbach,Ausstehend,Tier 1,,Grosser Seminarhof im Gruenen; Schulgruppen brauchen Erlebnisprogramme,,seminarhof-schleglberg.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Outreach,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Gruppen,Schullandwochen-Quartier,office@wimmergreuthgruenau.at,"Familienhotel, Schulklassen+Vereine willkommen, Almtal-Naturlage",,4,Naturfreunde Sporthotel Gruenau,,,Gruenau im Almtal,Ausstehend,Tier 1,,Almtal + Schulklassen-Willkommen = braucht Naturerlebnis-Programme,,wimmergreuthgruenau.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Outreach,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,16 Seminarraeume,Schullandwochen-Quartier,ghg@lk-ooe.at,"Modernes Seminarhaus der LK OOe, 16 Raeume, zentral in Linz",,5,Seminarhaus Auf der Gugl,,,Linz,Ausstehend,Tier 2,,Grosse Seminarinfrastruktur; Naturpaedagogik als Programmpunkt moeglich,,seminarhaus-gugl.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Outreach,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,26 Betten,Schullandwochen-Quartier,servus@almkinder.at,"OeAV-Huette, Spielplatz, Kletterwand, Trampolin, Mai-September",,6,Almtalerhaus (OeAV),,,Gruenau im Almtal,Ausstehend,Tier 2,,Kleine aber feine Naturunterkunft; Almtal ideal fuer Waldpaedagogik,,almtalerhaus.com,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Partnerschaft,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,2 Standorte,Erlebnispaedagogik-Anbieter,office@isk-austria.at,"GROESSTER Erlebnis-Anbieter OOe: Burg Altpernstein + Lifecamp Hinterstoder, Projektwochen",,7,ISK - Lifecamp / Burg Altpernstein,,,Linz / Micheldorf / Hinterstoder,Ausstehend,Tier 1,,Koennte Naturpaedagogik als Spezialprogramm-Modul subcontracten; riesige Reichweite,,isk-austria.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Partnerschaft,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Gruppen,Erlebnispaedagogik-Anbieter,office@funiversum.at,"Schulprojekttage, Sportwochen, Bauernhofschule, Teambuilding, Muehlviertel",,8,Funiversum / Burg der Begegnung,,,St. Oswald bei Freistadt,Ausstehend,Tier 1,,Bietet bereits Naturprogramme an; Partnerschaft fuer spezialisierte Module,,funiversum.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Partnerschaft,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Tagesgruppen,Waldpaedagogik (staatlich),lfw.post@ooe.gv.at,"Offizielle Waldpaedagogik des Landes OOe, Schulexkursionen, alle Altersstufen",,9,Waldschule Linz (Land OOe),,,Wilhering,Ausstehend,Tier 1,,Staatliche Waldschule; Partnerschaft/Empfehlung statt Konkurrenz,,land-oberoesterreich.gv.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Partnerschaft,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Netzwerk,Projektwochen-Plattform,info@projekttage.org,"Groesster Anbieter betreuter Schulprojekttage/-wochen in AT, auch OOe",,10,Projekttage.org (Verein Freispiel),,,Wien (oesterreichweit),Ausstehend,Tier 1,,Als Partner/Referent gelistet werden = direkter Zugang zu hunderten Schulen,,projekttage.org,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Registrieren,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Plattform,Projektwochen-Plattform,info@teamkiste.at,"Online-Buchungsplattform fuer betreute Projektwochen, ex-Freiraum-Team",,11,Teamkiste / Schulprojektwoche.at,,,Wien (oesterreichweit),Ausstehend,Tier 1,,Als Programmpartner registrieren = Schulen finden dich ueber Plattform,,teamkiste.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Partnerschaft,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Netzwerk,Projektwochen-Plattform,info@projektwochen.at,Verein zur Organisation von Projektwochen fuer Schulklassen,,12,Projektwochen.at (Verein Lind Horn),,,Lackenhof (oesterreichweit),Ausstehend,Tier 2,,Kontakt aufnehmen fuer Naturpaedagogik-Modulangebot,,projektwochen.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Partnerschaft,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Vermittlung,Projektwochen-Vermittler,office@cooltours.at,"Sprachreisen, Kulturtrips, regionale Projekttage mit nachhaltigen Aktivitaeten",,13,Cool Tours,,,Graz (oesterreichweit),Ausstehend,Tier 2,,Regionale Projekttage in OOe = Naturpaedagogik als Programmbaustein,,cooltours.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Outreach,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,alle Schulen OOe,Bildungsbehoerde,bd.post@bildung-ooe.gv.at,"Zentrale Schulbehoerde OOe, foerdert Schulveranstaltungen (60-150 Euro Zuschuss)",,14,Bildungsdirektion Oberoesterreich,,,Linz,Ausstehend,Tier 1,,Empfehlung durch BD = Tueroeffner zu ALLEN Schulen; Foerderstatus moeglich,,bildung-ooe.gv.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Outreach,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Lehrerfortbildung,Lehrerausbildung,office@ph-ooe.at,"Lehrerausbildung + Fortbildung, Sport/Bewegung/Gesundheit, 6:30-22:00",,15,Paedagogische Hochschule OOe,,,Linz,Ausstehend,Tier 1,,Fortbildungsangebot fuer Lehrer:innen = Multiplikator-Effekt,,ph-ooe.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Registrieren,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Schulportal,Tourismus-Plattform,info@donauregion.at,"Regionale Tourismus-GmbH, betreibt Schulportal fuer Schulausflug-Buchungen",,16,Donau Oberoesterreich Tourismus,,,Linz,Ausstehend,Tier 1,,Im Schulportal gelistet werden = Schulen finden Angebote direkt,,donauregion.at,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Registrieren,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Verzeichnis,Unterkunfts-Plattform,via Plattform-Formular,"149 Gruppenhaeuser + 35 Schullandheime in AT gelistet, groesstes Portal",,17,Gruppenhaus.de (OOe-Listings),,,Deutschland (AT-weit),Ausstehend,Tier 1,,Profil erstellen = Schulen aus DE+AT finden Angebot automatisch,,gruppenhaus.de,
2,Naturpaedagogik_Schullandwochen_OOe.xlsx,Registrieren,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,Plattform,Schulsportwochen-Portal,via Plattform,"Zentrales Portal fuer Schulsportwochen, BMBWF + WKOe + Sport Austria",,18,Sportwochen.org (Servicestelle),,,Wien (oesterreichweit),Ausstehend,Tier 2,,Als Zusatzprogramm-Anbieter bei Sportwochen gelistet werden,,sportwochen.org,
3,Naturpaedagogik_Ferienpass_Gemeinden_OOe.xlsx,,ab 1. Klasse,,OOe-weit (16 Bezirke),Berechtigtes Interesse (Art. 6/1/f DSGVO),OOe-weit,,AK-Ferienspass / VHS OOe (Zentrale),,,,ferienspass@vhsooe.at,"Dachprogramm der Arbeiterkammer: 16 Bezirke, kostenlos fuer AK-Kinder, 2 Wochen Aug.",,1,,AK-Ferienspass,,,Ausstehend,,,,,,vhsooe.at/ak-ferienspass
